in s,C1 in V
-1.1999808E+01,6.30371E-01
-1.1999634E+01,6.25488E-01
-1.1999460E+01,6.05957E-01
-1.1999286E+01,6.10840E-01
-1.1999112E+01,6.25488E-01
-1.1998938E+01,6.20605E-01
-1.1998764E+01,6.30371E-01
-1.1998590E+01,6.15723E-01
-1.1998416E+01,6.20605E-01
-1.1998242E+01,6.01074E-01
-1.1998068E+01,6.15723E-01
-1.1997894E+01,6.20605E-01
-1.1997720E+01,6.20605E-01
-1.1997546E+01,6.30371E-01
-1.1997372E+01,8.06152E-01
-1.1997198E+01,9.37988E-01
-1.1997024E+01,9.42871E-01
-1.1996850E+01,9.67285E-01
-1.1996676E+01,9.62402E-01
-1.1996502E+01,7.81738E-01
-1.1996328E+01,7.08496E-01
-1.1996154E+01,6.79199E-01
-1.1995980E+01,6.74316E-01
-1.1995806E+01,6.69434E-01
-1.1995632E+01,6.64551E-01
-1.1995458E+01,6.54785E-01
-1.1995284E+01,6.49902E-01
-1.1995110E+01,6.40137E-01
-1.1994936E+01,6.35254E-01
-1.1994762E+01,6.25488E-01
-1.1994588E+01,6.35254E-01
-1.1994414E+01,6.40137E-01
-1.1994240E+01,6.54785E-01
-1.1994066E+01,6.35254E-01
-1.1993892E+01,6.74316E-01
-1.1993718E+01,8.11035E-01
-1.1993544E+01,9.47754E-01
-1.1993370E+01,9.77051E-01
-1.1993196E+01,9.72168E-01
-1.1993022E+01,9.81934E-01
-1.1992848E+01,8.30566E-01
-1.1992674E+01,7.13379E-01
-1.1992500E+01,7.03613E-01
-1.1992326E+01,6.93848E-01
-1.1992152E+01,6.79199E-01
-1.1991978E+01,6.79199E-01
-1.1991804E+01,6.84082E-01
-1.1991630E+01,6.30371E-01
-1.1991456E+01,6.35254E-01
-1.1991282E+01,6.35254E-01
-1.1991108E+01,6.20605E-01
-1.1990934E+01,6.20605E-01
-1.1990760E+01,6.15723E-01
-1.1990586E+01,6.25488E-01
-1.1990412E+01,6.25488E-01
-1.1990238E+01,6.20605E-01
-1.1990064E+01,6.25488E-01
-1.1989890E+01,6.30371E-01
-1.1989716E+01,6.35254E-01
-1.1989542E+01,6.15723E-01
-1.1989368E+01,6.05957E-01
-1.1989194E+01,6.15723E-01
-1.1989020E+01,8.30566E-01
-1.1988846E+01,9.33105E-01
-1.1988672E+01,9.57520E-01
-1.1988498E+01,9.47754E-01
-1.1988324E+01,9.72168E-01
-1.1988150E+01,7.52441E-01
-1.1987976E+01,6.93848E-01
-1.1987802E+01,6.59668E-01
-1.1987628E+01,6.64551E-01
-1.1987454E+01,6.54785E-01
-1.1987280E+01,6.69434E-01
-1.1987106E+01,6.40137E-01
-1.1986932E+01,6.30371E-01
-1.1986758E+01,6.40137E-01
-1.1986584E+01,6.20605E-01
-1.1986410E+01,6.40137E-01
-1.1986236E+01,6.25488E-01
-1.1986062E+01,6.20605E-01
-1.1985888E+01,6.25488E-01
-1.1985714E+01,6.25488E-01
-1.1985540E+01,6.59668E-01
-1.1985366E+01,8.11035E-01
-1.1985192E+01,9.18457E-01
-1.1985018E+01,9.57520E-01
-1.1984844E+01,9.52637E-01
-1.1984670E+01,9.77051E-01
-1.1984496E+01,7.86621E-01
-1.1984322E+01,7.03613E-01
-1.1984148E+01,6.79199E-01
-1.1983974E+01,6.74316E-01
-1.1983800E+01,6.93848E-01
-1.1983626E+01,6.74316E-01
-1.1983452E+01,6.64551E-01
-1.1983278E+01,6.45020E-01
-1.1983104E+01,6.59668E-01
-1.1982930E+01,6.40137E-01
-1.1982756E+01,6.25488E-01
-1.1982582E+01,6.40137E-01
-1.1982408E+01,6.25488E-01
-1.1982234E+01,6.54785E-01
-1.1982060E+01,6.20605E-01
-1.1981886E+01,6.30371E-01
-1.1981712E+01,6.35254E-01
-1.1981538E+01,6.25488E-01
-1.1981364E+01,6.30371E-01
-1.1981190E+01,6.25488E-01
-1.1981016E+01,6.15723E-01
-1.1980842E+01,6.40137E-01
-1.1980668E+01,8.45215E-01
-1.1980494E+01,9.23340E-01
-1.1980320E+01,9.62402E-01
-1.1980146E+01,9.57520E-01
-1.1979972E+01,9.57520E-01
-1.1979798E+01,7.52441E-01
-1.1979624E+01,7.08496E-01
-1.1979450E+01,6.69434E-01
-1.1979276E+01,6.93848E-01
-1.1979102E+01,6.54785E-01
-1.1978928E+01,6.59668E-01
-1.1978754E+01,6.40137E-01
-1.1978580E+01,6.35254E-01
-1.1978406E+01,6.25488E-01
-1.1978232E+01,6.20605E-01
-1.1978058E+01,6.10840E-01
-1.1977884E+01,6.35254E-01
-1.1977710E+01,6.30371E-01
-1.1977536E+01,6.15723E-01
-1.1977362E+01,6.20605E-01
-1.1977188E+01,6.35254E-01
-1.1977014E+01,8.50098E-01
-1.1976840E+01,9.23340E-01
